timestamp,TP9,AF7,AF8,TP10,Right AUX
9.248000144958496,80.078,-521.973,-20.996,53.223,0.000
9.252000093460083,-5.371,-626.953,-36.133,-6.836,0.000
9.25600004196167,-109.375,-1000.000,-48.340,-129.883,0.000
9.259999990463257,-70.312,-1000.000,-37.109,-72.754,0.000
9.264000177383423,44.922,-558.105,-22.461,58.105,0.000
9.26800012588501,39.062,-241.211,-26.855,47.852,0.000
9.272000074386597,-92.773,-744.141,-40.527,-61.523,0.000
9.276000022888184,-97.656,-1000.000,-39.062,-87.891,0.000
9.28000020980835,33.691,-657.715,-13.184,29.785,0.000
9.282999992370605,61.035,-227.539,-13.672,66.406,0.000
9.287000179290771,-62.500,-584.473,-36.621,-60.059,0.000
9.291000127792358,-105.469,-1000.000,-36.133,-99.609,0.000
9.295000076293945,4.395,-780.762,-15.625,33.203,0.000
9.299000024795532,70.312,-620.605,-15.137,97.656,0.000
9.303000211715698,-23.926,-883.789,-34.180,-23.438,0.000
9.307000160217285,-114.746,-1000.000,-42.480,-118.652,0.000
9.311000108718872,-38.574,-995.117,-29.785,-44.434,0.000
9.315000057220459,68.848,-431.641,-17.578,78.125,0.000
9.319000005722046,25.879,-315.918,-32.715,22.949,0.000
9.32200002670288,-90.820,-957.520,-41.992,-113.281,0.000
9.326000213623047,-66.895,-985.840,-22.949,-82.031,0.000
9.330000162124634,51.270,-522.461,-11.230,64.453,0.000
9.33400011062622,31.738,-559.082,-21.973,54.688,0.000
9.338000059127808,-106.445,-943.848,-32.227,-85.449,0.000
9.342000007629395,-105.469,-1000.000,-27.344,-93.262,0.000
9.34600019454956,18.066,-928.223,-23.926,26.367,0.000
9.350000143051147,42.480,-829.590,-24.902,77.148,0.000
9.354000091552734,-58.594,-863.770,-30.273,-44.922,0.000
9.358000040054321,-103.027,-999.023,-30.273,-130.859,0.000
9.361999988555908,-0.977,-771.484,-20.020,-9.277,0.000
9.365000009536743,66.895,-663.086,-23.438,95.703,0.000
9.36900019645691,-8.301,-837.891,-33.203,-27.344,0.000
9.373000144958496,-97.656,-937.988,-33.203,-148.926,0.000
9.377000093460083,-53.223,-997.070,-28.809,-66.895,0.000
9.38100004196167,50.781,-767.090,-19.531,57.129,0.000
9.384999990463257,27.832,-509.766,-16.602,34.668,0.000
9.389000177383423,-97.168,-851.074,-26.367,-89.844,0.000
9.39300012588501,-87.891,-1000.000,-25.391,-81.055,0.000
9.397000074386597,41.992,-827.148,-17.090,49.316,0.000
9.401000022888184,38.574,-463.867,-26.367,20.020,0.000
9.404000043869019,-86.426,-826.172,-42.480,-106.934,0.000
9.407999992370605,-97.656,-1000.000,-36.621,-103.027,0.000
9.412000179290771,21.973,-923.828,-25.391,15.137,0.000
9.416000127792358,43.945,-360.840,-24.902,53.223,0.000
9.420000076293945,-66.895,-422.852,-44.922,-61.523,0.000
9.424000024795532,-131.836,-1000.000,-46.387,-140.137,0.000
9.428000211715698,-43.457,-846.680,-27.344,-45.410,0.000
9.432000160217285,61.523,-259.277,-28.320,66.895,0.000
9.436000108718872,-0.977,-335.449,-41.992,1.465,0.000
9.440000057220459,-108.398,-912.109,-48.828,-126.465,0.000
9.444000005722046,-40.527,-1000.000,-31.738,-70.312,0.000
9.44700002670288,74.707,-654.785,-17.090,81.543,0.000
9.451000213623047,35.645,-326.172,-26.367,48.828,0.000
9.455000162124634,-87.891,-843.262,-42.480,-97.656,0.000
9.45900011062622,-88.379,-1000.000,-25.879,-94.727,0.000
9.463000059127808,44.434,-467.285,-12.207,35.156,0.000
9.467000007629395,61.523,-179.688,-25.391,51.758,0.000
9.47100019454956,-62.012,-787.598,-36.621,-78.125,0.000
9.475000143051147,-88.379,-1000.000,-33.203,-100.098,0.000
9.479000091552734,20.996,-702.148,-20.996,8.789,0.000
9.483000040054321,73.730,-397.949,-25.391,55.664,0.000
9.486999988555908,-66.895,-823.242,-41.992,-44.922,0.000
9.490000009536743,-186.523,-1000.000,-36.133,-162.109,0.000
9.49400019645691,59.570,-662.598,-14.160,34.668,0.000
9.498000144958496,183.594,-298.340,-21.973,202.148,0.000
9.502000093460083,-85.449,-794.922,-50.781,-32.715,0.000
9.50600004196167,-228.516,-1000.000,-45.410,-208.496,0.000
9.509999990463257,-12.207,-805.664,-23.438,-36.133,0.000
9.514000177383423,187.500,-95.703,-20.020,145.508,0.000
9.51800012588501,19.531,-250.000,-34.668,23.438,0.000
9.522000074386597,-232.422,-962.402,-46.387,-192.383,0.000
9.526000022888184,-110.352,-995.117,-32.715,-104.980,0.000
9.529000043869019,170.898,-416.016,-18.555,138.672,0.000
9.532999992370605,90.820,-420.898,-35.645,88.379,0.000
9.537000179290771,-190.430,-962.402,-53.223,-151.367,0.000
9.541000127792358,-159.180,-1000.000,-38.574,-156.250,0.000
9.545000076293945,123.535,-840.820,-21.484,73.242,0.000
9.549000024795532,147.461,-590.820,-21.973,141.602,0.000
9.553000211715698,-128.906,-664.551,-41.016,-72.266,0.000
9.557000160217285,-204.590,-1000.000,-46.387,-195.801,0.000
9.561000108718872,55.176,-917.480,-23.926,1.465,0.000
9.565000057220459,177.246,35.645,-18.555,171.387,0.000
9.569000005722046,-62.500,-128.418,-45.410,-9.277,0.000
9.57200002670288,-288.086,-1000.000,-61.523,-218.262,0.000
9.576000213623047,-22.949,-818.848,-34.180,-45.898,0.000
9.580000162124634,294.922,179.199,-22.949,216.309,0.000
9.58400011062622,23.438,40.527,-54.688,32.715,0.000
9.588000059127808,-352.051,-940.430,-73.242,-255.859,0.000
9.592000007629395,-150.879,-1000.000,-48.340,-106.445,0.000
9.59600019454956,271.973,158.203,-13.672,179.199,0.000
9.600000143051147,145.996,665.039,-34.668,95.703,0.000
9.604000091552734,-294.922,-700.195,-68.848,-235.840,0.000
9.608000040054321,-240.723,-1000.000,-48.828,-221.191,0.000
9.611000061035156,217.773,-277.832,-12.207,138.184,0.000
9.615000009536743,246.094,477.539,-20.508,197.754,0.000
9.61900019645691,-201.660,-475.098,-58.594,-158.691,0.000
9.623000144958496,-319.824,-1000.000,-57.129,-288.574,0.000
9.627000093460083,102.539,-775.879,-21.484,37.598,0.000
